ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.55,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.997872,,0,0.642857,1,0.357143,63,0,specific_days,9,headwind,high_vol|drawdown_data_missing,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,momentum_score:-36.1;smart_money_score:+31.2;financial_score:+24.7,tier=A;reason=high_opt+catalyst_near;cat_days=63;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_31_90|nonpos,-0.00679275,,0.448,0,1,-0.2905,0.0,9,9,buying,2.5197,elite_9,0.0,0.0,0.0,,,1.4074,2,3,1,True,True,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,63,False,specific_days,-0.312931,price_history,,9,0.6096,price_history,,,series_too_short,24.8367,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.8014266472106858233247278033,15.72,45.25946711111111111111111111,83.0,62.12,38.44444444444444444444444444,76.43750000000000000000000000,37.8988,-0.2485,2.0,63,6,1.0,0.5916,1,1,0.0,0.3,0.6,cns,-0.1589,uncrowded,1.0,235,-0.00679275,0.002128,-2.8586,28.56,0.568085,0.1715
EYPT,"EyePoint, Inc.",2,0.27,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.223404,,0,0.633333,1,0.366667,,0,no_upcoming,9,headwind,drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+37.0;financial_score:-29.8;momentum_score:-18.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 175063000.0, ""cash_total"": 204022000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.985045383661882, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.0521,128,1,-0.2349,1.8705,4,4,buying,0.4905,elite_4,0.0,0.0,0.0,,,-0.28,0,0,0,True,True,True,missing,0.0,short,<=1000bps,660.09,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.439927,price_history,,4,0.8875,price_history,,,series_too_short,40.9129,0.7147,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8715204794042355131487084012,16.60,41.25000000000000000000000000,72.0,38.83,39.78833257125438195397043133,5.200277777777777777777777778,38.7455,-0.2124,3.0,,5,1.0,0.3442,0,1,0.0,0.4,0.55,ophthalmology,-0.1589,uncrowded,1.0,53,0.1,0.776596,0.7607,12.72,0.117021,-1.19
VERA,"Vera Therapeutics, Inc.",3,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.644681,,0,0.62381,1,0.37619,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+17.0;financial_score:+13.4;catalyst_score:-13.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",mid|none|pos,0.08701244092219021,,-0.7223,590,1,-0.151,2.0397,5,5,buying,0.8963,elite_5,0.0,0.0,0.0,,,-0.28,0,0,0,True,True,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,5,,,series_too_short,,no_price_series,,0.7858,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7480559677761288954844180623,50,41.25000000000000000000000000,71.5,50,41.81777777777777777777777778,67.88000000000000000000000000,40.7052,-0.1287,2.0,590,1,0.0,0.0073,0,0,0.0,0.4,0.55,infectious_disease,-2.6482,uncrowded,1.0,152,0.08701244092219021,0.355319,-0.371,35.63,0.708511,0.549
PVLA,"Palvella Therapeutics, Inc.",4,0.55,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.614894,,0,0.614286,1,0.385714,,0,no_upcoming,9,headwind,drawdown_data_missing,M,sponsor_confirmed|momentum_headwind,smart_money_score:+23.2;momentum_score:-7.8;catalyst_score:-7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,0.08701244092219021,,-0.2472,81,1,-0.151,2.0397,4,4,buying,0.4905,elite_4,0.0,0.0,0.0,,,-0.28,0,0,0,True,True,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.127637,price_history,,4,1.2324,price_history,,,series_too_short,47.6275,,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7773404188151110175733978744,41.00,41.25000000000000000000000000,72.0,50,41.81777777777777777777777778,47.76562500000000000000000000,41.5553,-0.0924,2.0,81,1,0.0,0.5092,1,1,0.0,0.4,0.5,other,-2.6482,uncrowded,1.0,145,0.08701244092219021,0.385106,-0.2921,34.51,0.682979,0.476
AURA,"Aura Biosciences, Inc.",5,0.18,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.546809,,0,0.652381,1,0.347619,,0,no_upcoming,9,neutral,drawdown_data_missing,S,sponsor_confirmed|runway_short|cost_haircut_>2000bps,financial_score:-29.4;smart_money_score:+14.5;momentum_score:+12.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.08701244092219021,,-0.6195,210,1,-0.3817,1.5747,2,2,selling,-0.3212,elite_2,0.0,0.0,0.0,,,-0.28,0,0,0,True,True,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.5411,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8033395525727069351230425056,50,41.25000000000000000000000000,52.0,68.18,36.24000000000000000000000000,8.062499999999999999999999999,34.49,-0.3941,2.0,1392,3,0.6667,0.0435,0,0,0.0,0.3,0.55,ophthalmology,0.7985,highly_crowded,1.0,129,0.08701244092219021,0.453191,-0.1176,8.98,0.065957,-1.5066
NUVB,Nuvation Bio Inc.,6,0.55,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.602128,,0,0.680952,1,0.319048,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,financial_score:+23.7;clinical_score:-16.4;catalyst_score:-9.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",mid|none|pos,0.08701244092219021,,0.4357,0,1,-0.4714,1.3938,6,6,selling,1.3021,elite_6,0.0,0.0,0.0,,,-0.28,0,0,0,True,True,True,missing,0.0,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,1.2485,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7377203682393555811277330265,50,41.25000000000000000000000000,53.0,22.73,34.07111111111111111111111111,74.18000,33.0211,-0.4568,2.0,1438,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.7985,highly_crowded,1.0,142,0.08701244092219021,0.397872,-0.2589,22.64,0.448936,-0.1283
ABSI,Absci Corporation,7,0.45,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.010638,,0,0.728571,1,0.271429,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-22.9;smart_money_score:+18.6;financial_score:+8.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.2485,,0,-0.8439,0.6429,3,3,buying,0.0846,elite_3,0.0,0.0,0.0,,,-0.28,0,0,0,True,True,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.9218,,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089663629992992291520672740,50,41.25000000000000000000000000,66.5,66.49,25.06496723060509068739521414,56.87804878048780487804878048,24.3865,-0.8255,3.0,,6,1.0,0.2771,0,1,0.0,0.4,0.95,oncology,0.7985,highly_crowded,1.0,3,0.1,0.989362,2.303,18.78,0.338298,-0.4171
CLDX,"Celldex Therapeutics, Inc.",8,0.92,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.159574,,0,0.747619,1,0.252381,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,clinical_score:-36.4;momentum_score:+36.4;catalyst_score:-18.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.9231,0,1,-0.9009,0.528,4,4,buying,0.4905,elite_4,0.0,0.0,0.0,,,-0.28,0,0,0,True,True,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,6.878735,price_history,,4,-0.7349,price_history,,-0.2393,,76.154,0.4801,,,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,96.55,41.25000000000000000000000000,71.5,68.62,23.68693796677335771985977748,67.63414634146341463414634146,24.3489,-0.8271,3.0,,45,1.0,0.8063,2,1,0.0,0.4,0.95,oncology,0.7985,highly_crowded,1.0,38,0.1,0.840426,0.9962,23.62,0.495745,-0.0107
RCKT,"Rocket Pharmaceuticals, Inc.",9,0.55,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.619149,,0,0.738095,1,0.261905,,0,no_upcoming,9,headwind,drawdown_data_missing,M,sponsor_confirmed|momentum_headwind,clinical_score:-24.3;smart_money_score:+17.9;financial_score:+16.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.08701244092219021,,-0.5404,154,1,-0.8979,0.5341,3,3,buying,0.0846,elite_3,0.0,0.0,0.0,,,1.4074,2,3,1,True,True,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.122409,price_history,,3,1.2937,price_history,,,series_too_short,56.0792,0.6262,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7990524420436641908620301598,44.71,41.25000000000000000000000000,66.0,86.36,23.76000000000000000000000000,64.62500000000000000000000000,22.36,-0.9121,2.0,154,6,1.0,0.0748,0,0,0.0,0.3,0.5,other,-1.1163,uncrowded,1.0,146,0.08701244092219021,0.380851,-0.3032,22.59,0.444681,-0.1391
CELC,Celcuity Inc.,10,0.65,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.555319,,0,0.757143,1,0.242857,,0,no_upcoming,9,headwind,drawdown_data_missing,M,sponsor_confirmed|momentum_headwind,smart_money_score:+38.1;momentum_score:-24.3;clinical_score:-23.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",mid|none|pos,0.08701244092219021,,-0.7562,568,1,-0.9787,0.371,6,6,buying,1.3021,elite_6,0.0,0.0,0.0,,,-0.28,0,0,0,True,True,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.318792,price_history,,6,0.9754,price_history,,,series_too_short,42.8375,,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7815738498789346246973365617,20.64,41.25000000000000000000000000,83.0,13.64,21.80444444444444444444444444,57.80000000000000000000000000,20.7544,-0.9806,2.0,1217,5,1.0,0.0022,0,0,0.0,0.3,0.95,oncology,0.7985,highly_crowded,1.0,131,0.08701244092219021,0.444681,-0.1391,17.98,0.317021,-0.476
