ticker,stored_mode,stored_days,stored_de_days,stored_de_mode,stored_in_window,stored_de_in_window,stored_source,stored_event_type,days_match,days_detail,mode_consistency,mode_detail,window_consistency,window_detail
NMRA,specific_days,5.0,5.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
IRON,specific_days,66.0,66.0,specific_days,0,False,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
PVLA,specific_days,5.0,5.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
RNA,specific_days,158.0,158.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
ALMS,specific_days,35.0,35.0,specific_days,1,True,SEC_8K_FILING,DATA_READOUT,OK,,OK,,OK,
VTYX,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
TRVI,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
ENTA,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
PRLD,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
ASMB,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
PRAX,specific_days,97.0,97.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
ZBIO,specific_days,97.0,97.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
IMVT,specific_days,5.0,5.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
SYRE,specific_days,38.0,38.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
PHVS,specific_days,36.0,36.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
RVMD,specific_days,65.0,65.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
KURA,specific_days,158.0,158.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
CCCC,specific_days,35.0,35.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
SION,specific_days,97.0,97.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
PEPG,specific_days,158.0,158.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
ORKA,specific_days,97.0,97.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
VRDN,specific_days,5.0,5.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
OCGN,specific_days,94.0,94.0,specific_days,0,False,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
KOD,specific_days,158.0,158.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
FDMT,specific_days,97.0,97.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
