ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,2.85,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.550505,0.643713,2,specific_days,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,164,0.057253918032786885
IRON,"Disc Medicine, Inc.",2,5.77,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170034,0.61976,63,specific_days,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,51,0.1
PVLA,"Palvella Therapeutics, Inc.",3,5.77,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.553872,0.661677,2,specific_days,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,165,0.057253918032786885
ALMS,Alumis Inc.,4,6.79,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.021886,0.625749,124,specific_days,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,7,0.1
ZBIO,"Zenas BioPharma, Inc.",5,3.46,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.348485,0.673653,94,specific_days,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,drug_developer,1,104,0.1
PRAX,"Praxis Precision Medicines, Inc",6,6.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.254209,0.667665,94,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,76,0.1
IMVT,"Immunovant, Inc.",7,5.77,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.530303,0.715569,2,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,158,0.057253918032786885
CCCC,"C4 Therapeutics, Inc.",8,2.85,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.092593,0.631737,32,specific_days,neutral,overbought_rsi,M,tier_a_dev|sponsor_confirmed|runway_short|cost_haircut_<=2000bps,drug_developer,1,28,0.1
RVMD,"Revolution Medicines, Inc.",9,6.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.284512,0.709581,62,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,85,0.1
CLYM,"Climb Bio, Inc.",10,4.75,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.09596,0.727545,33,specific_days,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,29,0.1
