ticker,stored_mode,stored_days,stored_de_days,stored_de_mode,stored_in_window,stored_de_in_window,stored_source,stored_event_type,days_match,days_detail,mode_consistency,mode_detail,window_consistency,window_detail
NMRA,specific_days,10.0,10.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
IRON,specific_days,71.0,71.0,specific_days,0,False,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
PVLA,specific_days,10.0,10.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
RNA,specific_days,163.0,163.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
ALMS,specific_days,132.0,132.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
VTYX,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
TRVI,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
ENTA,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
ASMB,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
ROIV,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
PRAX,specific_days,102.0,102.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
ZBIO,specific_days,102.0,102.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
SYRE,specific_days,43.0,43.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
IMVT,specific_days,10.0,10.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
PHVS,specific_days,41.0,41.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
RVMD,specific_days,70.0,70.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
KURA,specific_days,163.0,163.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
SION,specific_days,102.0,102.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
PEPG,specific_days,163.0,163.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
ORKA,specific_days,102.0,102.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
VRDN,specific_days,10.0,10.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
OCGN,specific_days,99.0,99.0,specific_days,0,False,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
KOD,specific_days,163.0,163.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
FDMT,specific_days,102.0,102.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
DNTH,specific_days,131.0,131.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
