ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
PVLA,"Palvella Therapeutics, Inc.",1,5.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.57837,0.620219,20,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,185,0.09254273684210526
IRON,"Disc Medicine, Inc.",2,5.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170846,0.603825,81,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,55,0.1
RNA,"Avidity Biosciences, Inc.",3,6.54,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.26489,0.625683,173,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|runway_short,drug_developer,1,85,0.1
ALMS,Alumis Inc.,4,6.54,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.614754,142,specific_days,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,7,0.1
PRAX,"Praxis Precision Medicines, Inc",5,6.54,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.249216,0.647541,112,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,80,0.1
IMVT,"Immunovant, Inc.",6,5.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.559561,0.691257,20,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,179,0.09254273684210526
RVMD,"Revolution Medicines, Inc.",7,6.54,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.27116,0.680328,80,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,87,0.1
PHVS,Pharvaris N.V.,8,2.75,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.246082,0.696721,51,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,drug_developer,1,79,0.1
KURA,"Kura Oncology, Inc.",9,5.56,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.18652,0.70765,173,specific_days,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,60,0.1
CLYM,"Climb Bio, Inc.",10,4.58,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.076803,0.674863,51,specific_days,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,25,0.1
CRVS,"Corvus Pharmaceuticals, Inc.",11,5.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.092476,0.713115,80,specific_days,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,30,0.1
PEPG,PepGen Inc.,12,4.58,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.816614,0.980874,173,specific_days,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,drug_developer,1,261,0.0646411489361702
ORKA,"Oruka Therapeutics, Inc.",13,5.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.81348,0.855191,112,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,260,0.0646411489361702
SION,"Sionna Therapeutics, Inc.",14,3.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.819749,0.920765,112,specific_days,neutral,high_beta,M,tier_a_dev|sponsor_confirmed|runway_short|high_risk,drug_developer,1,262,0.0646411489361702
OCGN,"Ocugen, Inc.",15,1.37,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.5721,0.762295,8,specific_days,neutral,,S,tier_a_dev|runway_short|cost_haircut_<=2000bps,drug_developer,1,183,0.09254273684210526
DNTH,"Dianthus Therapeutics, Inc.",16,5.56,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.681818,0.948087,141,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,218,0.0743638577586207
COGT,"Cogent Biosciences, Inc.",17,6.54,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.675549,0.833333,112,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,216,0.0743638577586207
CGON,"CG Oncology, Inc.",18,5.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.672414,0.877049,112,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,215,0.0743638577586207
KOD,Kodiak Sciences Inc,19,5.56,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.700627,0.969945,173,specific_days,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,224,0.0743638577586207
FDMT,"4D Molecular Therapeutics, Inc.",20,0.69,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.688088,0.904372,112,specific_days,headwind,high_beta,XS,tier_a_dev|momentum_headwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,220,0.0743638577586207
