ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,2.86,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.57837,0.603825,12,specific_days,tailwind,,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,185,0.09254273684210526
PVLA,"Palvella Therapeutics, Inc.",2,5.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.60929,12,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,186,0.09254273684210526
DNLI,Denali Therapeutics Inc.,3,5.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.547022,0.631148,8,specific_days,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,175,0.09254273684210526
PRAX,"Praxis Precision Medicines, Inc",4,6.81,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.239812,0.625683,104,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,77,0.1
ZBIO,"Zenas BioPharma, Inc.",5,3.48,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.308777,0.636612,104,specific_days,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,drug_developer,1,99,0.1
PHVS,Pharvaris N.V.,6,2.86,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,0.663934,43,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,drug_developer,1,76,0.1
KYTX,"Kyverna Therapeutics, Inc.",7,1.74,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.65047,0.653005,12,specific_days,headwind,high_vol|deep_drawdown_rel_xbi,S,tier_a_dev|momentum_headwind|high_risk,drug_developer,1,208,0.07679787341772153
KURA,"Kura Oncology, Inc.",8,5.79,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.18652,0.685792,165,specific_days,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,60,0.1
KALV,"KalVista Pharmaceuticals, Inc.",9,5.79,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.180251,0.70765,133,specific_days,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,58,0.1
SION,"Sionna Therapeutics, Inc.",10,3.48,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.816614,0.937158,104,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,drug_developer,1,261,0.0646411489361702
PEPG,PepGen Inc.,11,4.77,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.81348,0.920765,165,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,drug_developer,1,260,0.0646411489361702
ORKA,"Oruka Therapeutics, Inc.",12,5.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.810345,0.860656,104,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,259,0.0646411489361702
NUVB,Nuvation Bio Inc.,13,5.79,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.217868,0.729508,134,specific_days,neutral,high_vol|deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|high_risk,drug_developer,1,70,0.1
CRSP,CRISPR Therapeutics AG,14,6.81,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.095611,0.724044,103,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,31,0.1
KOD,Kodiak Sciences Inc,15,5.79,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.691223,0.964481,165,specific_days,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,221,0.0743638577586207
FDMT,"4D Molecular Therapeutics, Inc.",16,1.43,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.681818,0.904372,104,specific_days,headwind,,S,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,drug_developer,1,218,0.0743638577586207
DNTH,"Dianthus Therapeutics, Inc.",17,5.79,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.675549,0.948087,133,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,216,0.0743638577586207
COGT,"Cogent Biosciences, Inc.",18,6.81,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.669279,0.81694,104,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,214,0.0743638577586207
CGON,"CG Oncology, Inc.",19,5.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.666144,0.849727,104,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,213,0.0743638577586207
CELC,Celcuity Inc.,20,6.81,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.659875,0.822404,133,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,211,0.0743638577586207
