ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,2.78,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.557239,0.649701,3,specific_days,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,166,0.057253918032786885
IRON,"Disc Medicine, Inc.",2,5.62,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170034,0.61976,64,specific_days,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,51,0.1
PVLA,"Palvella Therapeutics, Inc.",3,5.62,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.560606,0.661677,3,specific_days,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,167,0.057253918032786885
RNA,"Avidity Biosciences, Inc.",4,6.61,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.281145,0.631737,156,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|runway_short,drug_developer,1,84,0.1
ALMS,Alumis Inc.,5,6.61,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.018519,0.625749,125,specific_days,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,6,0.1
ZBIO,"Zenas BioPharma, Inc.",6,3.37,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.355219,0.673653,95,specific_days,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,drug_developer,1,106,0.1
PRAX,"Praxis Precision Medicines, Inc",7,6.61,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.254209,0.667665,95,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,76,0.1
IMVT,"Immunovant, Inc.",8,5.62,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.537037,0.715569,3,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,160,0.057253918032786885
RVMD,"Revolution Medicines, Inc.",9,6.61,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.287879,0.709581,63,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,86,0.1
CCCC,"C4 Therapeutics, Inc.",10,2.78,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.09596,0.637725,33,specific_days,neutral,overbought_rsi,M,tier_a_dev|sponsor_confirmed|runway_short|cost_haircut_<=2000bps,drug_developer,1,29,0.1
CLYM,"Climb Bio, Inc.",11,4.63,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.099327,0.727545,34,specific_days,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,30,0.1
KOD,Kodiak Sciences Inc,12,5.62,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.688552,0.967066,156,specific_days,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,205,0.037547915422885575
FDMT,"4D Molecular Therapeutics, Inc.",13,1.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.678451,0.913174,95,specific_days,neutral,high_beta,S,tier_a_dev|high_risk|cost_haircut_<=2000bps,drug_developer,1,202,0.037547915422885575
DNTH,"Dianthus Therapeutics, Inc.",14,5.62,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.671717,0.949102,124,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,200,0.037547915422885575
COGT,"Cogent Biosciences, Inc.",15,6.61,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.664983,0.829341,95,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,198,0.037547915422885575
CGON,"CG Oncology, Inc.",16,5.62,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.661616,0.871257,95,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,197,0.037547915422885575
VERA,"Vera Therapeutics, Inc.",17,5.62,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.641414,0.919162,17,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,191,0.0566169393939394
REPL,"Replimune Group, Inc.",18,5.62,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.627946,0.853293,3,specific_days,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,187,0.0566169393939394
OLMA,"Olema Pharmaceuticals, Inc.",19,5.62,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.624579,0.805389,3,specific_days,tailwind,high_vol|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,186,0.0566169393939394
IVVD,"Invivyd, Inc.",20,1.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.607744,0.961078,3,specific_days,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,S,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,181,0.0566169393939394
