ticker,stored_mode,stored_days,stored_de_days,stored_de_mode,stored_in_window,stored_de_in_window,stored_source,stored_event_type,days_match,days_detail,mode_consistency,mode_detail,window_consistency,window_detail
IRON,specific_days,70.0,70.0,specific_days,0,False,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
NMRA,specific_days,9.0,9.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
RNA,specific_days,162.0,162.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
PVLA,specific_days,9.0,9.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
ALMS,specific_days,39.0,39.0,specific_days,1,True,SEC_8K_FILING,DATA_READOUT,OK,,OK,,OK,
VTYX,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
TRVI,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
ENTA,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
PRLD,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
ASMB,no_upcoming,nan,nan,no_upcoming,0,False,nan,nan,OK,,OK,,OK,
PRAX,specific_days,101.0,101.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
IMVT,specific_days,9.0,9.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
SYRE,specific_days,42.0,42.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
PHVS,specific_days,40.0,40.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
RVMD,specific_days,69.0,69.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
KURA,specific_days,162.0,162.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
CCCC,specific_days,39.0,39.0,specific_days,1,True,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
PEPG,specific_days,162.0,162.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
ORKA,specific_days,101.0,101.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
SION,specific_days,101.0,101.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
VRDN,specific_days,9.0,9.0,specific_days,1,True,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
DNTH,specific_days,130.0,130.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
COGT,specific_days,101.0,101.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
CGON,specific_days,101.0,101.0,specific_days,0,False,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,OK,,OK,,OK,
OCGN,specific_days,98.0,98.0,specific_days,0,False,CTGOV_CALENDAR,CT_STUDY_COMPLETION,OK,,OK,,OK,
