ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
PVLA,"Palvella Therapeutics, Inc.",1,5.38,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.57837,0.625683,18,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,185,0.09254273684210526
IRON,"Disc Medicine, Inc.",2,5.38,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170846,0.60929,79,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,55,0.1
NMRA,"Neumora Therapeutics, Inc.",3,2.66,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.568966,0.642077,18,specific_days,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,182,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",4,6.34,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.258621,0.631148,171,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|runway_short,drug_developer,1,83,0.1
ALMS,Alumis Inc.,5,6.34,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.017241,0.620219,140,specific_days,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,6,0.1
PRAX,"Praxis Precision Medicines, Inc",6,6.34,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.242947,0.653005,110,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,78,0.1
IMVT,"Immunovant, Inc.",7,5.38,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.556426,0.696721,18,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,178,0.09254273684210526
RVMD,"Revolution Medicines, Inc.",8,6.34,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.26489,0.685792,78,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,85,0.1
PHVS,Pharvaris N.V.,9,4.43,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.239812,0.702186,49,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,drug_developer,1,77,0.1
KURA,"Kura Oncology, Inc.",10,5.38,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.18652,0.70765,171,specific_days,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,60,0.1
CLYM,"Climb Bio, Inc.",11,4.43,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.079937,0.680328,49,specific_days,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,26,0.1
PEPG,PepGen Inc.,12,4.43,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.816614,0.980874,171,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,drug_developer,1,261,0.0646411489361702
ORKA,"Oruka Therapeutics, Inc.",13,5.38,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.81348,0.855191,110,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,260,0.0646411489361702
SION,"Sionna Therapeutics, Inc.",14,1.62,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.819749,0.920765,110,specific_days,headwind,high_beta,S,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short|high_risk,drug_developer,1,262,0.0646411489361702
DNTH,"Dianthus Therapeutics, Inc.",15,5.38,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.678683,0.948087,139,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,217,0.0743638577586207
OCGN,"Ocugen, Inc.",16,1.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.5721,0.76776,6,specific_days,neutral,,S,tier_a_dev|runway_short|cost_haircut_<=2000bps,drug_developer,1,183,0.09254273684210526
COGT,"Cogent Biosciences, Inc.",17,6.34,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.672414,0.833333,110,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,215,0.0743638577586207
CGON,"CG Oncology, Inc.",18,5.38,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.669279,0.877049,110,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,214,0.0743638577586207
CELC,Celcuity Inc.,19,6.34,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.663009,0.838798,139,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,212,0.0743638577586207
KOD,Kodiak Sciences Inc,20,5.38,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.697492,0.969945,171,specific_days,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,223,0.0743638577586207
