ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
PVLA,"Palvella Therapeutics, Inc.",1,5.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.625683,26,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed,drug_developer,1,186,0.09254273684210526
IRON,"Disc Medicine, Inc.",2,5.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170846,0.60929,87,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,55,0.1
RNA,"Avidity Biosciences, Inc.",3,6.34,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.261755,0.631148,179,specific_days,neutral,overbought_rsi,L,tier_a_dev|sponsor_confirmed|runway_short,drug_developer,1,84,0.1
ALMS,Alumis Inc.,4,6.34,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.620219,148,specific_days,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,7,0.1
PRAX,"Praxis Precision Medicines, Inc",5,6.34,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.249216,0.653005,118,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,80,0.1
IMVT,"Immunovant, Inc.",6,5.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.565831,0.696721,26,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed,drug_developer,1,181,0.09254273684210526
RVMD,"Revolution Medicines, Inc.",7,6.34,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.268025,0.680328,86,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,86,0.1
PHVS,Pharvaris N.V.,8,4.44,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.246082,0.691257,57,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,drug_developer,1,79,0.1
KURA,"Kura Oncology, Inc.",9,5.39,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.18652,0.713115,179,specific_days,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,60,0.1
CRVS,"Corvus Pharmaceuticals, Inc.",10,5.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.098746,0.718579,86,specific_days,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,32,0.1
PEPG,PepGen Inc.,11,4.44,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.80721,0.980874,179,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,drug_developer,1,258,0.0646411489361702
ORKA,"Oruka Therapeutics, Inc.",12,5.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.804075,0.860656,118,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,257,0.0646411489361702
SION,"Sionna Therapeutics, Inc.",13,5.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.810345,0.915301,118,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,259,0.0646411489361702
OCGN,"Ocugen, Inc.",14,1.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.57837,0.76776,14,specific_days,neutral,,S,tier_a_dev|runway_short|cost_haircut_<=2000bps,drug_developer,1,185,0.09254273684210526
ARTV,"Artiva Biotherapeutics, Inc.",15,4.44,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.051724,0.702186,57,specific_days,neutral,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,drug_developer,1,17,0.1
DNTH,"Dianthus Therapeutics, Inc.",16,5.39,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.675549,0.948087,147,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,216,0.0743638577586207
SYRE,"Spyre Therapeutics, Inc.",17,5.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.65674,0.784153,15,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,210,0.07679787341772153
CGON,"CG Oncology, Inc.",18,5.39,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.669279,0.877049,118,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,214,0.0743638577586207
KOD,Kodiak Sciences Inc,19,5.39,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.697492,0.964481,179,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,223,0.0743638577586207
FDMT,"4D Molecular Therapeutics, Inc.",20,0.67,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.681818,0.909836,118,specific_days,headwind,high_beta,XS,tier_a_dev|momentum_headwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,218,0.0743638577586207
