ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
PVLA,"Palvella Therapeutics, Inc.",1,5.23,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.587774,0.636612,16,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,188,0.09254273684210526
NMRA,"Neumora Therapeutics, Inc.",2,2.58,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.57837,0.631148,16,specific_days,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,185,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",3,6.15,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.26489,0.625683,169,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|runway_short,drug_developer,1,85,0.1
ALMS,Alumis Inc.,4,6.15,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.620219,138,specific_days,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,7,0.1
PRAX,"Praxis Precision Medicines, Inc",5,6.15,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.249216,0.653005,108,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,80,0.1
ZBIO,"Zenas BioPharma, Inc.",6,3.14,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.318182,0.65847,108,specific_days,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,drug_developer,1,102,0.1
IMVT,"Immunovant, Inc.",7,5.23,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.562696,0.691257,16,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,180,0.09254273684210526
RVMD,"Revolution Medicines, Inc.",8,6.15,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.27116,0.685792,76,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,87,0.1
PHVS,Pharvaris N.V.,9,4.31,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.246082,0.702186,47,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,drug_developer,1,79,0.1
KURA,"Kura Oncology, Inc.",10,5.23,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.189655,0.70765,169,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,61,0.1
CLYM,"Climb Bio, Inc.",11,4.31,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.083072,0.680328,47,specific_days,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,27,0.1
PEPG,PepGen Inc.,12,4.31,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.81348,0.980874,169,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,drug_developer,1,260,0.0646411489361702
ORKA,"Oruka Therapeutics, Inc.",13,5.23,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.810345,0.855191,108,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,259,0.0646411489361702
SION,"Sionna Therapeutics, Inc.",14,5.23,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.816614,0.920765,108,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed|runway_short,drug_developer,1,261,0.0646411489361702
OCGN,"Ocugen, Inc.",15,2.58,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.76776,4,specific_days,tailwind,,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,186,0.09254273684210526
DNTH,"Dianthus Therapeutics, Inc.",16,5.23,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.681818,0.948087,137,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,218,0.0743638577586207
COGT,"Cogent Biosciences, Inc.",17,6.15,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.675549,0.833333,108,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,216,0.0743638577586207
CGON,"CG Oncology, Inc.",18,5.23,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.672414,0.877049,108,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,215,0.0743638577586207
CELC,Celcuity Inc.,19,6.15,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.666144,0.838798,137,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,213,0.0743638577586207
KOD,Kodiak Sciences Inc,20,5.23,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.697492,0.969945,169,specific_days,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,223,0.0743638577586207
