ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
KALV,"KalVista Pharmaceuticals, Inc.",1,5.18,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.198305,0.627273,166,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed,drug_developer,1,59,0.1
PVLA,"Palvella Therapeutics, Inc.",2,5.18,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.30339,0.657576,45,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,90,0.1
PRAX,"Praxis Precision Medicines, Inc",3,6.09,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.286441,0.681818,137,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,85,0.1
RVMD,"Revolution Medicines, Inc.",4,6.09,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.313559,0.730303,105,specific_days,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,93,0.1
ALMS,Alumis Inc.,5,6.09,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.032203,0.742424,167,specific_days,tailwind,high_vol|high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,10,0.1
ARTV,"Artiva Biotherapeutics, Inc.",6,2.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.069492,0.736364,76,specific_days,headwind,deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,drug_developer,1,21,0.1
CRSP,CRISPR Therapeutics AG,7,6.09,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.127119,0.778788,136,specific_days,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,38,0.1
NUVB,Nuvation Bio Inc.,8,5.18,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.252542,0.790909,167,specific_days,tailwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,75,0.1
FDMT,"4D Molecular Therapeutics, Inc.",9,0.64,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.655932,0.906061,137,specific_days,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,XS,tier_a_dev|momentum_headwind|high_risk|cost_haircut_<=2000bps,drug_developer,1,194,0.037547915422885575
DNTH,"Dianthus Therapeutics, Inc.",10,5.18,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.652542,0.954545,166,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,193,0.037547915422885575
